REPORTED: 2775 PASS: 182 FAIL: 2593 RATE: 6.56%
--- per-category (pass/total) ---
3d-intersections 1/72
appearance 5/74
background-color 3/6
background-opacity 0/3
background-pattern 0/13
background-pitch-alignment 0/5
background-visibility 2/2
building 0/52
camera 0/3
canvas 0/4
circle-blur 3/8
circle-color 3/5
circle-geometry 4/6
circle-opacity 3/6
circle-pitch-alignment 0/4
circle-pitch-scale 0/3
circle-radius 5/7
circle-sort-key 0/3
circle-stroke-color 0/5
circle-stroke-opacity 0/6
circle-stroke-width 1/5
circle-translate 1/3
circle-translate-anchor 0/2
clip-layer 1/16
collator 0/2
color-theme 0/25
combinations 8/126
config 2/6
context-restore 0/3
cross-source-elevation 0/7
custom-layer-js 0/6
custom-source 0/8
debug 0/50
depth-occlusion 0/14
distance 0/6
dynamic-filter 0/27
elevated-line 0/7
elevated-line-blur 0/5
elevated-line-border 0/6
elevated-line-cap 0/4
elevated-line-color 0/5
elevated-line-dasharray 1/29
elevated-line-gap-width 0/4
elevated-line-gradient 0/12
elevated-line-join 0/11
elevated-line-offset 0/5
elevated-line-opacity 0/7
elevated-line-pattern 0/19
elevated-line-pattern-trim-offset 3/12
elevated-line-pitch 0/5
elevated-line-sort-key 0/1
elevated-line-translate 0/4
elevated-line-translate-anchor 0/3
elevated-line-triangulation 0/2
elevated-line-trim-offset 0/16
elevated-line-visibility 1/2
elevated-line-width 2/8
empty 1/1
extent 0/4
feature-state 3/25
featuresets 0/1
fill-antialias 1/1
fill-color 2/8
fill-extrusion-base 0/12
fill-extrusion-color 0/8
fill-extrusion-geometry 0/1
fill-extrusion-height 0/6
fill-extrusion-line-width 0/9
fill-extrusion-multiple 0/2
fill-extrusion-opacity 0/3
fill-extrusion-partial-rendering 0/4
fill-extrusion-pattern 1/15
fill-extrusion-pattern-cross-fade 0/4
fill-extrusion-terrain 0/13
fill-extrusion-translate 0/4
fill-extrusion-translate-anchor 0/2
fill-extrusion-vertical-gradient 0/3
fill-opacity 2/9
fill-outline-color 1/8
fill-pattern 0/15
fill-pattern-cross-fade 0/4
fill-sort-key 0/2
fill-translate 1/3
fill-translate-anchor 0/2
fill-visibility 1/2
fill-z-offset 0/4
filter 3/4
fit-screen-coordinates 0/3
fog 0/63
free-camera 0/6
front-cutoff 0/6
geojson 11/30
globe 3/122
hd-sd-transition 0/11
heatmap-color 0/2
heatmap-intensity 0/3
heatmap-opacity 0/3
heatmap-radius 0/7
heatmap-weight 0/3
hillshade 0/2
hillshade-accent-color 0/5
hillshade-buffer 0/3
hillshade-highlight-color 0/4
hillshade-maxzoom 0/2
hillshade-shadow-color 0/4
icon-anchor 0/11
icon-color 0/5
icon-halo-blur 0/5
icon-halo-color 1/7
icon-halo-width 0/4
icon-image 0/15
icon-no-cross-source-collision 0/1
icon-offset 0/3
icon-opacity 1/9
icon-pitch-alignment 1/4
icon-pitch-scaling 0/2
icon-pixelratio-mismatch 0/1
icon-rotate 1/3
icon-rotation-alignment 3/6
icon-size 0/18
icon-text-fit 0/43
icon-translate 0/3
icon-translate-anchor 0/2
icon-visibility 1/2
image 0/20
image-fallback-nested 0/19
image-source 0/2
imports 2/39
is-supported-script 0/2
light-migration 0/2
lighting-3d-mode 0/116
line-blend-mode 0/6
line-blur 0/5
line-border 0/13
line-border-gradient 0/4
line-cap 0/4
line-color 0/5
line-dasharray 1/30
line-emissive-strength 0/3
line-gap-width 0/5
line-gradient 0/14
line-join 0/11
line-offset 0/5
line-opacity 0/7
line-pattern 0/20
line-pattern-cross-fade 0/5
line-pattern-trim-offset 0/18
line-pitch 0/5
line-sort-key 0/2
line-translate 0/4
line-translate-anchor 0/3
line-triangulation 0/2
line-trim-offset 0/18
line-visibility 1/2
line-width 2/18
line-width-unit 0/6
linear-filter-opacity-edge 0/1
map-mode 0/3
map-projections 1/28
measure-light 0/19
model-layer 0/32
occlusion 0/5
placement 0/7
projection 0/4
random 0/1
raster-alpha 0/1
raster-array 0/7
raster-brightness 0/3
raster-color 0/3
raster-contrast 0/3
raster-elevation 0/16
raster-elevation-tiled 0/14
raster-extent 2/2
raster-filtering 0/2
raster-hue-rotate 0/3
raster-loading 0/1
raster-masking 0/4
raster-opacity 0/3
raster-resampling 0/3
raster-rotation 0/5
raster-saturation 0/3
raster-visibility 1/2
real-world 0/9
regressions 0/122
remove-feature-state 2/3
retina-raster 0/1
runtime-styling 66/181
scale-factor 0/12
sd-hd-conflation 0/14
skybox 0/34
slots 0/8
sparse-tileset 1/1
sprites 0/8
symbol-cross-fade 0/2
symbol-elevation 0/17
symbol-geometry 0/6
symbol-opacity 0/1
symbol-placement 0/8
symbol-sort-key 0/8
symbol-spacing 0/5
symbol-visibility 1/2
symbol-z-order 0/11
terrain 2/69
text-anchor 0/11
text-arabic 0/5
text-color 0/9
text-field 0/23
text-font 0/4
text-font-metrics 0/15
text-halo-blur 0/4
text-halo-color 0/5
text-halo-width 0/4
text-justify 0/4
text-keep-upright 1/15
text-letter-spacing 0/5
text-line-height 0/2
text-max-angle 0/2
text-max-width 0/8
text-no-cross-source-collision 0/1
text-offset 0/20
text-opacity 0/4
text-pitch-alignment 1/12
text-pitch-scaling 0/1
text-radial-offset 0/1
text-rotate 0/8
text-rotation-alignment 3/6
text-size 0/13
text-tile-edge-clipping 0/1
text-transform 0/3
text-translate 0/3
text-translate-anchor 0/2
text-variable-anchor 0/27
text-visibility 1/2
text-writing-mode 0/32
tile-providers 0/7
tilejson-bounds 0/2
tms 0/1
video 0/2
wireframe 0/7
within 0/11
worldview 0/6
zoom-history 0/2
zoom-visibility 6/6
zoomed-fill 0/2
zoomed-raster 1/3
